iteration,time_s,time_ns,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV,energy_spread_MeV
0,0.0,0.0,-1.7470054537119944e-20,8.682087709356578e-21,-5.476068003999052e-17,0.0009870300716609884,0.0009869372587020893,0.0009864953389764767,8.271806125530277e-23,-6.824240053562478e-23,0.0019783574385068598,2.8934831846939918e-06,2.893846107567631e-06,2.8936219211658596e-06,1.000006418044501e-06,2.9252740249311726e-09
0,3.75e-12,0.00375,-6.924494343803905e-20,-3.3881317890172014e-21,3.4607616845994388e-06,0.0009870277695545365,0.0009869349507345877,0.0009864925680854585,8.271806125530277e-23,-6.824240053562478e-23,0.004178399938506861,2.8934831846939918e-06,2.893846107567631e-06,2.893621921165818e-06,4.4607681027014e-06,6.178297719578321e-09
0,7.5e-12,0.0075,-1.5267768874258764e-19,-4.648093298057973e-20,9.394791163042969e-06,0.0009870254674745969,0.000986932642793629,0.0009864897972737946,8.271806125530277e-23,-6.824240053562478e-23,0.006378442438506863,2.8934831846939918e-06,2.893846107567631e-06,2.893621921165851e-06,1.0394797581145918e-05,9.43123218449325e-09
0,1.125e-11,0.01125,-2.5114526886090005e-19,-1.0047928336804138e-19,1.7802002275367208e-05,0.0009870231654323114,0.000986930334890383,0.000986487026581715,8.271806125530277e-23,-6.824240053562478e-23,0.008578484938506856,2.8934831846939918e-06,2.893846107567631e-06,2.89362192116585e-06,1.8802008693471657e-05,1.2684029834554093e-08
0,1.5e-11,0.015,-4.019171334721655e-19,-1.7025362239811437e-19,2.868227295884067e-05,0.0009870208634388204,0.0009869280270360156,0.000986484256049446,8.271806125530277e-23,-6.824240053562478e-23,0.010778527438506868,2.8934831846939918e-06,2.893846107567631e-06,2.8936219211658617e-06,2.968227937693877e-05,1.593664337683738e-08
0,1.875e-11,0.01875,-5.811704809348568e-19,-2.5294521387381544e-19,4.20354452567562e-05,0.0009870185615052604,0.0009869257192416945,0.000986481485717176,8.271806125530277e-23,-6.824240053562478e-23,0.012978569938506861,2.8934831846939918e-06,2.893846107567631e-06,2.893621921165906e-06,4.303545167486103e-05,1.9189025580620917e-08
0,2.25e-11,0.0225,-7.837172344470414e-19,-3.4961284897921246e-19,5.7861325329911496e-05,0.0009870162596427663,0.0009869234115185835,0.000986478715625112,8.271806125530277e-23,-6.824240053562478e-23,0.015178612438506862,2.8934831846939918e-06,2.893846107567631e-06,2.8936219211658964e-06,5.886133174801275e-05,2.244112926181265e-08
0,2.625e-11,0.02625,-1.0358154153736025e-18,-4.645975715689837e-19,7.61596834706606e-05,0.0009870139578624698,0.0009869211038778414,0.0009864759458134205,8.271806125530277e-23,-6.824240053562478e-23,0.017378654938506873,2.8934831846939918e-06,2.893846107567631e-06,2.893621921165719e-06,7.71596898887621e-05,2.5692907241647158e-08
0,3e-11,0.03,-1.3192538153485728e-18,-5.8942905217058625e-19,9.693025411959106e-05,0.0009870116561755014,0.0009869187963306263,0.000986473176322261,8.271806125530277e-23,-6.824240053562478e-23,0.019578697438506855,2.8934831846939918e-06,2.893846107567631e-06,2.8936219211658833e-06,9.79302605376938e-05,2.8944312380228257e-08
0,3.375e-11,0.03375,-1.6207975445711037e-18,-7.377656970584956e-19,0.00012017273588477669,0.0009870093545929842,0.0009869164888880908,0.000986470407191755,8.271806125530277e-23,-6.824240053562478e-23,0.021778739938506864,2.8934831846939918e-06,2.893846107567631e-06,2.8936219211658087e-06,0.00012117274230287638,3.219529755995582e-08
0,3.75e-11,0.0375,-1.9673398991165193e-18,-8.978549240895584e-19,0.00014588679156363817,0.0009870070531260388,0.0009869141815613837,0.000986467638462019,8.271806125530277e-23,-6.824240053562478e-23,0.023978782438506846,2.8934831846939918e-06,2.893846107567631e-06,2.893621921165834e-06,0.0001468867979817392,3.544581568943461e-08
