iteration,time_s,time_ns,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV,energy_spread_MeV
0,0.0,0.0,1.8846483076408183e-20,1.2705494208814505e-21,-5.4791384984328485e-17,0.0009870300716609878,0.0009869372587020888,0.0009864953389764773,-1.133237439197648e-22,-1.9852334701272664e-23,0.0019783574385068598,2.893483184693995e-06,2.89384610756763e-06,2.8936219211658634e-06,1.0000064180447224e-06,2.9257203146372825e-09
0,3.75e-12,0.00375,-1.020674701441432e-18,1.9697751188398754e-18,3.4607616845996327e-06,0.0009870301589454157,0.0009869372435583868,0.0009864953846202794,-1.133237439197648e-22,-1.9852334701272664e-23,0.004178399938506862,2.893483184693995e-06,2.89384610756763e-06,2.8936219211658494e-06,4.460768102702508e-06,6.178742533001026e-09
0,7.5e-12,0.0075,-2.7371869690522715e-18,5.39898800579891e-18,9.394791163039938e-06,0.0009870302462397541,0.0009869372284255487,0.0009864954302735483,-1.133237439197648e-22,-1.9852334701272664e-23,0.006378442438506862,2.893483184693995e-06,2.89384610756763e-06,2.8936219211658646e-06,1.0394797581148576e-05,9.431676536774952e-09
0,1.125e-11,0.01125,-5.209676142087574e-18,1.0227075805148422e-17,1.7802002275365646e-05,0.0009870303335435808,0.0009869372133036454,0.0009864954759356193,-1.133237439197648e-22,-1.9852334701272664e-23,0.008578484938506865,2.893483184693995e-06,2.89384610756763e-06,2.8936219211658587e-06,1.880200869347276e-05,1.2684473947318257e-08
0,1.5e-11,0.015,-8.408072550919812e-18,1.6464202912255463e-17,2.8682272958839533e-05,0.000987030420856473,0.0009869371981927506,0.0009864955216058288,-1.133237439197648e-22,-1.9852334701272664e-23,0.010778527438506859,2.893483184693995e-06,2.89384610756763e-06,2.8936219211658524e-06,2.9682279376942985e-05,1.593708734146586e-08
0,1.875e-11,0.01875,-1.2302730042395085e-17,2.4169238116954206e-17,4.2035445256753566e-05,0.0009870305081780067,0.000986937183092938,0.000986495567283514,-1.133237439197648e-22,-1.9852334701272664e-23,0.012978569938506846,2.893483184693995e-06,2.89384610756763e-06,2.8936219211658494e-06,4.303545167485748e-05,1.918946943482594e-08
0,2.25e-11,0.0225,-1.6913342132537056e-17,3.3244772630310407e-17,5.786132532990806e-05,0.0009870305955077588,0.0009869371680042776,0.0009864956129680051,-1.133237439197648e-22,-1.9852334701272664e-23,0.015178612438506857,2.893483184693995e-06,2.89384610756763e-06,2.8936219211658765e-06,5.8861331748012976e-05,2.2441573032682832e-08
0,2.625e-11,0.02625,-2.229708354528539e-17,4.377593326352312e-17,7.61596834706601e-05,0.0009870306828453066,0.0009869371529268426,0.000986495658658639,-1.133237439197648e-22,-1.9852334701272664e-23,0.017378654938506873,2.893483184693995e-06,2.89384610756763e-06,2.893621921165844e-06,7.715968988876009e-05,2.5693350934965584e-08
0,3e-11,0.03,-2.835887483231079e-17,5.568818111723398e-17,9.693025411958666e-05,0.0009870307701902268,0.000986937137860705,0.0009864957043547462,-1.133237439197648e-22,-1.9852334701272664e-23,0.01957869743850686,2.893483184693995e-06,2.89384610756763e-06,2.8936219211658494e-06,9.793026053769247e-05,2.8944756008206416e-08
0,3.375e-11,0.03375,-3.515694950873699e-17,6.905351399195958e-17,0.00012017273588477459,0.000987030857542094,0.0009869371228059354,0.0009864957500556664,-1.133237439197648e-22,-1.9852334701272664e-23,0.02177873993850688,2.893483184693995e-06,2.89384610756763e-06,2.893621921165816e-06,0.00012117274230287415,3.219574111815206e-08
