time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,9.999999999999999547e-07,9.999999999999999547e-07,9.999999999999999547e-07
1.691926178825100302e-11,0.000000000000000000e+00,0.000000000000000000e+00,1.012724701901764361e-03,1.000019196675885425e-03,1.000019196675885425e-03,1.000018716229695648e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.087273343887432187e-01,7.787739903223008957e-06,7.787739903223008957e-06,7.913210682596236970e-06
5.817217128275370514e-11,0.000000000000000000e+00,0.000000000000000000e+00,3.679351349147470460e-03,1.000225576881508477e-03,1.000225576881508477e-03,1.000218760342635625e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.329295088251590873e-01,2.646458341501406618e-05,2.646458341501406618e-05,2.695027946616636232e-05
1.066091821522259321e-10,0.000000000000000000e+00,0.000000000000000000e+00,7.162925808301332659e-03,1.000751884140610145e-03,1.000751884140610145e-03,1.000724218171097218e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.613464374880393182e-01,4.821802439665446742e-05,4.821802439665446742e-05,4.922520330720886765e-05
1.603066271109564416e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.146122938925643250e-02,1.001684605922412803e-03,1.001684605922412803e-03,1.001609381650495805e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.928495471015373774e-01,7.202234102634916420e-05,7.202234102634916420e-05,7.374301067123042140e-05
2.184739990015519048e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.662268298422158591e-02,1.003095647779650738e-03,1.003095647779650738e-03,1.002929163021062421e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.269750645075681361e-01,9.738612595893980379e-05,9.738612595893980379e-05,1.000519183776387561e-04
2.808067891833524526e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.272044588482767871e-02,1.005051395811578470e-03,1.005051395811578470e-03,1.004727131539233462e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.635443411858465534e-01,1.240249461083616888e-04,1.240249461083616888e-04,1.279140027241603566e-04
3.472843945350063114e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.984821371571739698e-02,1.007618115714789802e-03,1.007618115714789802e-03,1.007039700982946323e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.025452897383441364e-01,1.517617215054886410e-04,1.517617215054886410e-04,1.572057515095346661e-04
4.180940398878318855e-10,0.000000000000000000e+00,0.000000000000000000e+00,3.812225741380663446e-02,1.010866185880042716e-03,1.010866185880042716e-03,1.009898823362403823e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.440877508546490771e-01,1.804850723406973743e-04,1.804850723406973743e-04,1.878775011683042346e-04
4.936109366785224912e-10,0.000000000000000000e+00,0.000000000000000000e+00,4.768735243343087682e-02,1.014874417305467553e-03,1.014874417305467553e-03,1.013334228510254188e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.883918528300179029e-01,2.101310506668909958e-04,2.101310506668909958e-04,2.199371413114453386e-04
5.744157521123066694e-10,0.000000000000000000e+00,0.000000000000000000e+00,5.872714110389173209e-02,1.019735538132896229e-03,1.019735538132896229e-03,1.017375908996174822e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.357982603390795129e-01,2.406774011386230100e-04,2.406774011386230100e-04,2.534476373284577644e-04
6.613519541600090677e-10,0.000000000000000000e+00,0.000000000000000000e+00,7.148160988807171490e-02,1.025564403655926686e-03,1.025564403655926686e-03,1.022057672719705939e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.868018174840214929e-01,2.721477458688445874e-04,2.721477458688445874e-04,2.885367364951752747e-04
7.556472052919206508e-10,0.000000000000000000e+00,0.000000000000000000e+00,8.627822368723844781e-02,1.032512057934212952e-03,1.032512057934212952e-03,1.027423292351251896e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.421227668275890643e-01,3.046287323170471565e-04,3.046287323170471565e-04,3.254241075722443454e-04
8.591701212242851664e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.035934631050546145e-01,1.040793364182081120e-03,1.040793364182081120e-03,1.033539017784468545e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.028573841009567724e-01,3.383129518769981310e-04,3.383129518769981310e-04,3.644843452112524760e-04
9.750494335750196029e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.241961758641806080e-01,1.050751883802598756e-03,1.050751883802598756e-03,1.040524246323461114e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.708412273122610125e-01,3.736117166327100809e-04,3.736117166327100809e-04,4.064072531715226598e-04
1.109629626058548311e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.495897279184880413e-01,1.063062654187481564e-03,1.063062654187481564e-03,1.048651792224275818e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.497964654781126059e-01,4.115347668055581985e-04,4.115347668055581985e-04,4.527259483753360127e-04
1.284180214398147348e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.846034126440746492e-01,1.079938243522236352e-03,1.079938243522236352e-03,1.058972145572673095e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.522014555440119210e-01,4.561004662282767161e-04,4.561004662282767161e-04,5.091053745511351552e-04
1.452770687184918582e-09,0.000000000000000000e+00,0.000000000000000000e+00,2.203607589121806265e-01,1.096921263628712661e-03,1.096921263628712661e-03,1.068501492054764468e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.051109776937609208e+00,4.946020967287261764e-04,4.946020967287261764e-04,5.597771089067342344e-04
