0.000000000000000000e+00,-7.888999213136018221e-04,9.662371778593802085e-02,1.988783912536722376e-01,1.000151852516242487e-02
0.000000000000000000e+00,-6.719631384106932023e-04,9.662364839634220159e-02,1.988783912536722376e-01,1.000151852516242487e-02
1.999999999999999960e-12,-5.550243991160672260e-04,9.662358567867673775e-02,1.988818545320451825e-01,1.000257099860375927e-02
3.999999999999999920e-12,-4.380837047857425435e-04,9.662352962874440343e-02,1.988853178126313015e-01,1.000403503839584519e-02
6.000000000000000283e-12,-3.211410567820692746e-04,9.662348024236701305e-02,1.988887810954306501e-01,1.000591046402946743e-02
7.999999999999999839e-12,-2.041964564737066472e-04,9.662343751538562953e-02,1.988922443804432838e-01,1.000819704423963445e-02
9.999999999999999395e-12,-8.724990523559639341e-05,9.662340144366031447e-02,1.988957076676692581e-01,1.001089449719211322e-02
1.199999999999999895e-11,2.969859555106257984e-05,9.662337202307023920e-02,1.988991709571085453e-01,1.001400249089997099e-02
1.399999999999999851e-11,1.466490444988365256e-04,9.662334924951364312e-02,1.989026342487612287e-01,1.001752064339083217e-02
1.599999999999999968e-11,2.636014402140830402e-04,9.662333311890786147e-02,1.989060975426273359e-01,1.002144852266107465e-02
1.799999999999999923e-11,3.805557812969762033e-04,9.662332362718922818e-02,1.989095608387069225e-01,1.002578564703821874e-02
1.999999999999999879e-11,4.975120663415315281e-04,9.662332077031310362e-02,1.989130241369999608e-01,1.003053148566723611e-02
2.199999999999999835e-11,6.144702939356304914e-04,9.662332454425388850e-02,1.989164874375065617e-01,1.003568545879138414e-02
2.399999999999999790e-11,7.314304626610463374e-04,9.662333494500495445e-02,1.989199507402267253e-01,1.004124693800828236e-02
2.599999999999999746e-11,8.483925710934658165e-04,9.662335196857867181e-02,1.989234140451605348e-01,1.004721524665380498e-02
2.799999999999999701e-11,9.653566178025217107e-04,9.662337561100636796e-02,1.989268773523079348e-01,1.005358966026649245e-02
2.999999999999999980e-11,1.082322601351810940e-03,9.662340586833834122e-02,1.989303406616690639e-01,1.006036940690713082e-02
3.199999999999999936e-11,1.199290520298923078e-03,9.662344273664373595e-02,1.989338039732438945e-01,1.006755366766031931e-02
3.399999999999999891e-11,1.316260373195467671e-03,9.662348621201070908e-02,1.989372672870324543e-01,1.007514157715738885e-02
3.599999999999999847e-11,1.433232158587095274e-03,9.662353629054626358e-02,1.989407306030348266e-01,1.008313222415929342e-02
3.799999999999999802e-11,1.550205875013526292e-03,9.662359296837627620e-02,1.989441939212509836e-01,1.009152465207858833e-02
3.999999999999999758e-11,1.667181521008576561e-03,9.662365624164548361e-02,1.989476572416810363e-01,1.010031785942161302e-02
4.199999999999999714e-11,1.784159095100178605e-03,9.662372610651745464e-02,1.989511205643250125e-01,1.010951080045576281e-02
4.399999999999999669e-11,1.901138595810415678e-03,9.662380255917461802e-02,1.989545838891828844e-01,1.011910238589270282e-02
4.599999999999999625e-11,2.018120021655539758e-03,9.662388559581813752e-02,1.989580472162547353e-01,1.012909148332405071e-02
4.799999999999999580e-11,2.135103371145998657e-03,9.662397521266800904e-02,1.989615105455406485e-01,1.013947691775680775e-02
4.999999999999999536e-11,2.252088642786469197e-03,9.662407140596294963e-02,1.989649738770405407e-01,1.015025747259316879e-02
5.199999999999999492e-11,2.369075835075873035e-03,9.662417417196043912e-02,1.989684372107545229e-01,1.016143189034953397e-02
5.399999999999999447e-11,2.486064946507409845e-03,9.662428350693669232e-02,1.989719005466826784e-01,1.017299887325162459e-02
5.599999999999999403e-11,2.603055975568577263e-03,9.662439940718657583e-02,1.989753638848249240e-01,1.018495708386715250e-02
5.799999999999999358e-11,2.720048920741206886e-03,9.662452186902362183e-02,1.989788272251813983e-01,1.019730514587312113e-02
5.999999999999999960e-11,2.837043780501478148e-03,9.662465088878008368e-02,1.989822905677521014e-01,1.021004164494613252e-02
6.200000000000000562e-11,2.954040553319950413e-03,9.662478646280679706e-02,1.989857539125370334e-01,1.022316512942070266e-02
6.400000000000001164e-11,3.071039237661593330e-03,9.662492858747319391e-02,1.989892172595362774e-01,1.023667411088330370e-02
6.600000000000001766e-11,3.188039831985804620e-03,9.662507725916733015e-02,1.989926806087498612e-01,1.025056706506915875e-02
6.800000000000002367e-11,3.305042334746446930e-03,9.662523247429580242e-02,1.989961439601778403e-01,1.026484243290624182e-02
7.000000000000002969e-11,3.422046744391863023e-03,9.662539422928374810e-02,1.989996073138201871e-01,1.027949862140419349e-02
7.200000000000003571e-11,3.539053059364911328e-03,9.662556252057483142e-02,1.990030706696770124e-01,1.029453400424651041e-02
7.400000000000004173e-11,3.656061278102983730e-03,9.662573734463118791e-02,1.990065340277482886e-01,1.030994692248098088e-02
7.600000000000004775e-11,3.773071399038042430e-03,9.662591869793339672e-02,1.990099973880341266e-01,1.032573568556487131e-02
7.800000000000005377e-11,3.890083420596632952e-03,9.662610657698054994e-02,1.990134607505344988e-01,1.034189857222046934e-02
8.000000000000005978e-11,4.007097341199929684e-03,9.662630097829010001e-02,1.990169241152494606e-01,1.035843383119639145e-02
8.200000000000006580e-11,4.124113159263741515e-03,9.662650189839790127e-02,1.990203874821789842e-01,1.037533968208394740e-02
8.400000000000007182e-11,4.241130873198553468e-03,9.662670933385818228e-02,1.990238508513232085e-01,1.039261431624675068e-02
8.600000000000007784e-11,4.358150481409550983e-03,9.662692328124350416e-02,1.990273142226821612e-01,1.041025589787892766e-02
8.800000000000008386e-11,4.475171982296639005e-03,9.662714373714474669e-02,1.990307775962558146e-01,1.042826256487986401e-02
9.000000000000008987e-11,4.592195374254478407e-03,9.662737069817106672e-02,1.990342409720442518e-01,1.044663242952541260e-02
9.200000000000009589e-11,4.709220655672505078e-03,9.662760416094991200e-02,1.990377043500475007e-01,1.046536357932531004e-02
9.400000000000010191e-11,4.826247824934963744e-03,9.662784412212692409e-02,1.990411677302655613e-01,1.048445407797813679e-02
9.600000000000010793e-11,4.943276880420925321e-03,9.662809057836596605e-02,1.990446311126984891e-01,1.050390196621285577e-02
9.800000000000011395e-11,5.060307820504327675e-03,9.662834352634906698e-02,1.990480944973463673e-01,1.052370526266099143e-02
1.000000000000001200e-10,5.177340643553986904e-03,9.662860296277643590e-02,1.990515578842091682e-01,1.054386196473513018e-02
1.020000000000001260e-10,5.294375347933641569e-03,9.662886888436640620e-02,1.990550212732869473e-01,1.056437004958167038e-02
1.040000000000001320e-10,5.411411932001961370e-03,9.662914128785535239e-02,1.990584846645797601e-01,1.058522747491718631e-02
1.060000000000001380e-10,5.528450394112588775e-03,9.662942016999774564e-02,1.990619480580875789e-01,1.060643217988917371e-02
1.080000000000001440e-10,5.645490732614159846e-03,9.662970552756611209e-02,1.990654114538105424e-01,1.062798208600448414e-02
1.100000000000001501e-10,5.762532945850327645e-03,9.662999735735096352e-02,1.990688748517486228e-01,1.064987509789839734e-02
1.120000000000001561e-10,5.879577032159802145e-03,9.663029565616078342e-02,1.990723382519018203e-01,1.067210910405282272e-02
1.140000000000001621e-10,5.996622989876358029e-03,9.663060042082201317e-02,1.990758016542702735e-01,1.069468197768043589e-02
1.160000000000001681e-10,6.113670817328878924e-03,9.663091164817901035e-02,1.990792650588539270e-01,1.071759157769066988e-02
1.180000000000001612e-10,6.230720512841383431e-03,9.663122933509397938e-02,1.990827284656528362e-01,1.074083574948057895e-02
1.200000000000001543e-10,6.347772074733035522e-03,9.663155347844708254e-02,1.990861918746670289e-01,1.076441232570662584e-02
1.220000000000001474e-10,6.464825501318195722e-03,9.663188407513617628e-02,1.990896552858966162e-01,1.078831912709135414e-02
1.240000000000001405e-10,6.581880790906428046e-03,9.663222112207701942e-02,1.990931186993415147e-01,1.081255396325167713e-02
1.260000000000001336e-10,6.698937941802541630e-03,9.663256461620306492e-02,1.990965821150018633e-01,1.083711463359919580e-02
1.280000000000001267e-10,6.815996952306606349e-03,9.663291455446551548e-02,1.991000455328776342e-01,1.086199892800469337e-02
1.300000000000001198e-10,6.933057820713990974e-03,9.663327093383330957e-02,1.991035089529688829e-01,1.088720462744736592e-02
1.320000000000001129e-10,7.050120545315380523e-03,9.663363375129296884e-02,1.991069723752756371e-01,1.091272950489087859e-02
1.340000000000001060e-10,7.167185124396809222e-03,9.663400300384872299e-02,1.991104357997979801e-01,1.093857132596350902e-02
1.360000000000000990e-10,7.284251556239689993e-03,9.663437868852237100e-02,1.991138992265358565e-01,1.096472784973343863e-02
1.380000000000000921e-10,7.401319839120838739e-03,9.663476080235328114e-02,1.991173626554893494e-01,1.099119682945354400e-02
1.400000000000000852e-10,7.518389971312499503e-03,9.663514934239837706e-02,1.991208260866585145e-01,1.101797601325142303e-02
1.420000000000000783e-10,7.635461951082375687e-03,9.663554430573204068e-02,1.991242895200433793e-01,1.104506314485235487e-02
1.440000000000000714e-10,7.752535776693655206e-03,9.663594568944615382e-02,1.991277529556439163e-01,1.107245596432945324e-02
1.460000000000000645e-10,7.869611446405043453e-03,9.663635349065004265e-02,1.991312163934602641e-01,1.110015220870291981e-02
1.480000000000000576e-10,7.986688958470775437e-03,9.663676770647042225e-02,1.991346798334923951e-01,1.112814961251990496e-02
