0.000000000000000000e+00,-1.043742094826953052e-06,-9.009659547019939377e-06,4.794759123008173959e-04,1.001388615971359180e-03,1.004375000797207195e-03,1.002251508800166141e-01,4.632741015664500933e-11,2.058811102086952063e-09,1.989797529215079352e-01,1.800992140447214796e-04,1.796047383832589245e-04,9.999227176103128029e-03
0.000000000000000000e+00,-1.043736328807959233e-06,-9.009662653286188981e-06,1.649206542099291954e-03,1.001840622221311520e-03,1.004824156485110975e-03,1.002257865105456586e-01,4.632741015664500933e-11,2.058811102086952063e-09,1.989797529215079352e-01,1.800992140447214796e-04,1.796047383832589245e-04,9.999227176103128029e-03
1.999999999999999879e-11,-1.043726510658322353e-06,-9.009658911070252097e-06,2.819377776022465119e-03,1.003233686187581441e-03,1.006208467186564797e-03,1.002277480403676591e-01,-5.662873043835505812e-10,5.267985916400203182e-09,1.990590873851134368e-01,3.635827533259259345e-04,3.625930920391576837e-04,1.013220538567730263e-02
3.999999999999999758e-11,-1.043712722124981029e-06,-9.009648163873897874e-06,3.989996547711865439e-03,1.005567277272724491e-03,1.008527495371412024e-03,1.002310527876001806e-01,-1.180742412123289895e-09,8.489555876344061503e-09,1.991405835717514061e-01,5.465627444589620356e-04,5.450969104771940859e-04,1.035378119355471679e-02
5.999999999999999960e-11,-1.043695099410712900e-06,-9.009630248408906562e-06,5.161073587046414481e-03,1.008840494524447648e-03,1.011780492863897799e-03,1.002357280340211432e-01,-1.798279357875764991e-09,1.172793026530851840e-08,1.992240622624761315e-01,7.287877138395617346e-04,7.268746470432394836e-04,1.066057734748710947e-02
7.999999999999999516e-11,-1.043673772059941556e-06,-9.009604920588499172e-06,6.332613386241850960e-03,1.013052035401044255e-03,1.015966372414139115e-03,1.002417863489766803e-01,-2.425062539915393529e-09,1.498408736491238322e-08,1.993093441689028633e-01,9.100104843076825501e-04,9.076881337605495394e-04,1.104758850653445902e-02
9.999999999999999072e-11,-1.043648991911695016e-06,-9.009571958732391509e-06,7.504624238114205106e-03,1.018200162783500576e-03,1.021083666412015084e-03,1.002492501827335764e-01,-3.071654130516768504e-09,1.825486184591540544e-08,1.993973241765353011e-01,1.089991952146427030e-03,1.087305791918140221e-03,1.150898664444091266e-02
1.199999999999999992e-10,-1.043621127146757917e-06,-9.009531082107073200e-06,8.677120334322514089e-03,1.024282677941342661e-03,1.027130500579601872e-03,1.002581568405243179e-01,-3.745106809155003325e-09,2.153520890098077087e-08,1.994880019110145675e-01,1.268503747722936337e-03,1.265506967030616617e-03,1.203859887164914454e-02
1.400000000000000077e-10,-1.043590538791847092e-06,-9.009482105624925323e-06,9.850109524419208701e-03,1.031296871909886427e-03,1.034104556752461291e-03,1.002685288298481997e-01,-4.442854289846480758e-09,2.481101711944679132e-08,1.995811979029278316e-01,1.445328990416638306e-03,1.442081586106794830e-03,1.263057928042556240e-02
1.600000000000000162e-10,-1.043557261311389348e-06,-9.009425021734915120e-06,1.102360350017743233e-02,1.039239482595793150e-03,1.042003016424063828e-03,1.002803984944595633e-01,-5.172198983567725099e-09,2.809329851683314832e-08,1.996774487900275785e-01,1.620260026752358027e-03,1.616824724692096258e-03,1.327901911329813084e-02
